website;language;entry;product;checkout;cookies;email filled;phone filled;failure reason;notes
zalando.nl;dutch;passed;passed;failed;passed;passed;skipped;Site and navigation issues;Site shows error code upon submission of the email address and clicking the ' Continue' button
wehkamp.nl;dutch;passed;passed;partial;passed;passed;passed;Selection and interaction failures;Did not select the address from the dropdown menu, which was required for submission
c-and-a.com;dutch;passed;failed;skipped;passed;skipped;skipped;Site and navigation issues;Site showed that 'there is a problem with the website' upon searching for product
bever.nl;dutch;passed;passed;failed;passed;passed;skipped;Looping and repetitive actions;Selected radio button for pickup point and got stuck there
scapino.nl;dutch;passed;passed;passed;passed;passed;passed;;
bonprix.nl;dutch;passed;passed;failed;passed;passed;skipped;Verification and security challenges;Encountered anti-robot verification in checkout form
aboutyou.nl;dutch;passed;passed;failed;passed;passed;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check in checkout form
adidas.nl;dutch;passed;failed;skipped;passed;skipped;skipped;Site and navigation issues;Sizes for products are not loading
otto.nl;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;Entered password twice, which made them not match
otrium.nl;dutch;passed;passed;partial;passed;failed;failed;Form and input errors;Kept entering the fields multiple times, without erasing contents, which appended information instead of replacing
douglas.nl;dutch;passed;passed;passed;passed;passed;passed;;
iciparisxl.nl;dutch;passed;passed;failed;passed;passed;skipped;Site and navigation issues;Continue' button after entering email did not respond
notino.nl;dutch;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
newpharma.nl;dutch;passed;passed;submit;passed;passed;passed;;Requires email verification to continue
da.nl;dutch;passed;passed;submit;passed;passed;passed;Selection and interaction failures;Filled and submitted al personal information. Searches for payment option, while payment option had to be selected first
lookfantastic.nl;dutch;passed;passed;partial;passed;passed;skipped;Selection and interaction failures;Did not select 'terms and conditions' checkbox that is required to continue as guest
boozyshop.nl;dutch;passed;passed;partial;passed;passed;skipped;Form and input errors;Filled in the wrong credit card information fields
parfumdreams.nl;dutch;passed;passed;submit;passed;passed;passed;Form and input errors;Skipped CVV code in credit card info, which prevented submission
parfumswinkel.nl;dutch;passed;passed;partial;passed;passed;passed;Site and navigation issues;Street and city were not able to filled in, required click first before these opened
lush.com;dutch;passed;passed;partial;passed;passed;passed;Selection and interaction failures;Failed to select region from dropdown menu
zalando.de;german;passed;passed;partial;passed;passed;skipped;Looping and repetitive actions;Keeps searching for more input fields, which were not on that page
limango.de;german;passed;passed;submit;passed;passed;passed;;Requires email verification to continue
bonprix.de;german;passed;passed;submit;passed;passed;skipped;Form and input errors;Could not find credit card information field on last page
aboutyou.de;german;failed;skipped;skipped;passed;skipped;skipped;Selection and interaction failures;Unable to select the correct version of the webshop
baur.de;german;passed;passed;partial;passed;passed;failed;Form and input errors;Entered ZIP code and phone number incorrectly
breuninger.de;german;passed;passed;partial;passed;passed;passed;Form and input errors;Skipped last name and street name
peek-cloppenburg.de;german;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
